nbins,sigma,n_iters,alpha,failures,fps
8,0.1,10,0.0001,139,2278.1669119160615
8,0.1,10,0.001,142,2205.7733416737337
8,0.1,10,0.01,143,2363.8309576479946
8,0.1,10,0.1,148,2190.7924076458607
8,0.1,10,0.2,145,2032.9665626829476
8,0.1,20,0.0,139,1938.4664179016318
8,0.1,20,0.0001,139,1936.8964224424903
8,0.1,20,0.001,142,1979.4420332785658
8,0.1,20,0.01,143,1788.9316144734319
8,0.1,20,0.1,148,2081.262255852271
8,0.1,20,0.2,143,2123.984215792589
8,0.5,1,0.0,72,2184.177111428615
8,0.5,1,0.0001,76,2447.96169018773
8,0.5,1,0.001,81,2196.1853774263095
8,0.5,1,0.01,91,2251.331542728592
8,0.5,1,0.1,112,2278.3716187121863
8,0.5,1,0.2,116,2503.9619674964083
8,0.5,10,0.0,34,1131.9256025544546
8,0.5,10,0.0001,33,1159.9727464888983
8,0.5,10,0.001,35,1491.3211366515172
8,0.5,10,0.01,42,1518.2476327145737
8,0.5,10,0.1,62,1470.3133062024783
8,0.5,10,0.2,71,1521.4462770067369
8,0.5,20,0.0,36,1294.0168516947078
8,0.5,20,0.0001,35,1444.1354769519523
8,0.5,20,0.001,34,1434.785519126247
8,0.5,20,0.01,40,790.1256364646634
8,0.5,20,0.1,59,974.3138499261296
8,0.5,20,0.2,72,954.9321673424696
8,1.0,1,0.0,69,1441.1359410732373
8,1.0,1,0.0001,66,1621.7882562348968
8,1.0,1,0.001,67,3265.839622545262
8,1.0,1,0.01,73,3445.4745288964464
8,1.0,1,0.1,101,2706.908504743414
8,1.0,1,0.2,111,3179.2536087421263
8,1.0,10,0.0,32,1317.3384710291512
8,1.0,10,0.0001,29,929.4575187821054
8,1.0,10,0.001,29,712.5686411263107
8,1.0,10,0.01,34,1412.2132489402409
8,1.0,10,0.1,58,1098.549238977783
8,1.0,10,0.2,75,1627.581624779238
8,1.0,20,0.0,31,1239.5221525603492
8,1.0,20,0.0001,34,1416.0307985598695
8,1.0,20,0.001,29,1424.8952720637287
8,1.0,20,0.01,32,1492.2269181886645
8,1.0,20,0.1,56,1618.8150826599012
8,1.0,20,0.2,74,1705.675427294505
8,2.0,1,0.0,80,2832.5269495756143
8,2.0,1,0.0001,75,2863.5199941305013
8,2.0,1,0.001,79,2656.41196276312
8,2.0,1,0.01,80,2792.2243415070516
8,2.0,1,0.1,111,2727.434747425328
8,2.0,1,0.2,120,2930.2012782944826
8,2.0,10,0.0,42,867.300467705999
8,2.0,10,0.0001,40,717.0024963795057
8,2.0,10,0.001,47,1043.9242889102902
8,2.0,10,0.01,51,1717.5999564945412
8,2.0,10,0.1,75,1666.2781101751048
8,2.0,10,0.2,93,1720.5921591058075
8,2.0,20,0.0,50,1476.2684854043532
8,2.0,20,0.0001,45,1356.418668367403
8,2.0,20,0.001,45,1210.9443725167107
8,2.0,20,0.01,53,1316.5732426232034
8,2.0,20,0.1,75,1490.4815122184987
8,2.0,20,0.2,94,1685.8610949943345
8,3.0,1,0.0,84,2507.553071603049
8,3.0,1,0.0001,82,2453.239600535495
8,3.0,1,0.001,82,2567.5008416421047
8,3.0,1,0.01,81,2668.933539769749
8,3.0,1,0.1,114,2558.0939686746
8,3.0,1,0.2,122,2824.463884182472
8,3.0,10,0.0,51,1405.7462535329728
8,3.0,10,0.0001,46,1379.8944593611584
8,3.0,10,0.001,49,1430.7969566148759
8,3.0,10,0.01,53,1419.467892207964
8,3.0,10,0.1,75,1519.837951111815
8,3.0,10,0.2,96,1611.0681600244427
8,3.0,20,0.0,52,1348.482943188537
8,3.0,20,0.0001,53,1397.3597039527233
8,3.0,20,0.001,53,1369.7741265360332
8,3.0,20,0.01,58,1433.7900787446008
8,3.0,20,0.1,78,1557.2658654705933
8,3.0,20,0.2,98,1605.3011965309756
16,0.1,1,0.0,144,2613.205325299995
16,0.1,1,0.0001,140,2504.5081065679688
16,0.1,1,0.001,146,2728.480480317754
16,0.1,1,0.01,149,2538.395494011523
16,0.1,1,0.1,146,2548.1717643834354
16,0.1,1,0.2,152,2694.993558835972
16,0.1,10,0.0,141,2243.54950797237
16,0.1,10,0.0001,128,1936.4477739731658
16,0.1,10,0.001,131,1907.115709007298
16,0.1,10,0.01,137,2004.922248735016
16,0.1,10,0.1,135,1982.2996993889103
16,0.1,10,0.2,138,2149.3371959820743
16,0.1,20,0.0,141,2040.103494303693
16,0.1,20,0.0001,128,1946.0560784826582
16,0.1,20,0.001,131,2106.6108265528096
16,0.1,20,0.01,137,2122.094872530012
16,0.1,20,0.1,135,2020.298145529821
16,0.1,20,0.2,139,2043.9508078208123
16,0.5,1,0.0,59,2555.061301937864
16,0.5,1,0.0001,68,2323.452866085082
16,0.5,1,0.001,76,2644.213479650638
16,0.5,1,0.01,91,2362.23787673551
16,0.5,1,0.1,106,2664.078595561409
16,0.5,1,0.2,116,2388.4281870091827
16,0.5,10,0.0,34,1394.355273563721
16,0.5,10,0.0001,34,1443.9600449704344
16,0.5,10,0.001,32,1339.0795010779736
16,0.5,10,0.01,39,1677.262959501316
16,0.5,10,0.1,57,1792.4164629719005
16,0.5,10,0.2,69,1729.9426146975309
16,0.5,20,0.0,34,1680.7817206890384
16,0.5,20,0.0001,32,1634.942786071804
16,0.5,20,0.001,26,1706.4534606956527
16,0.5,20,0.01,34,1796.4075805711911
16,0.5,20,0.1,57,1870.634706927452
16,0.5,20,0.2,66,1617.1535215941808
16,1.0,1,0.0,61,3412.07813372456
16,1.0,1,0.0001,58,3027.2468363601056
16,1.0,1,0.001,61,2853.2300954977895
16,1.0,1,0.01,72,3039.279579928747
16,1.0,1,0.1,105,3611.713563444338
16,1.0,1,0.2,108,2776.4644008660434
16,1.0,10,0.0,30,1343.2761721253837
16,1.0,10,0.0001,27,1335.4979309609441
16,1.0,10,0.001,26,1402.958125833082
16,1.0,10,0.01,30,1424.1134231870603
16,1.0,10,0.1,57,1635.6203660031108
16,1.0,10,0.2,67,1615.6063645434724
16,1.0,20,0.0,29,1305.11302296416
16,1.0,20,0.0001,25,1238.4027414909212
16,1.0,20,0.001,25,1264.6265631418878
16,1.0,20,0.01,28,1441.5418272202483
16,1.0,20,0.1,57,1642.5945711064085
16,1.0,20,0.2,67,1250.526565198179
16,2.0,1,0.0,75,2689.803837888144
16,2.0,1,0.0001,78,2724.3441421298835
16,2.0,1,0.001,74,3125.3730417650995
16,2.0,1,0.01,82,2933.9224174248
16,2.0,1,0.1,108,2881.129337024875
16,2.0,1,0.2,125,2799.297709818039
16,2.0,10,0.0,54,1343.4916915429383
16,2.0,10,0.0001,47,1336.8397010711053
16,2.0,10,0.001,47,1379.534189392543
16,2.0,10,0.01,52,1364.7355246299956
16,2.0,10,0.1,85,1585.4890903786886
16,2.0,10,0.2,105,1585.6159404813548
16,2.0,20,0.0,58,1297.4199364081676
16,2.0,20,0.0001,51,1354.8118020380366
16,2.0,20,0.001,48,1382.0737924428424
16,2.0,20,0.01,52,1418.2298227294523
16,2.0,20,0.1,85,1611.6959955935872
16,2.0,20,0.2,105,1584.8007692363242
16,3.0,1,0.0,78,2828.4403818940314
16,3.0,1,0.0001,78,2886.936378095954
16,3.0,1,0.001,76,3173.1347310757887
16,3.0,1,0.01,81,2802.999583159705
16,3.0,1,0.1,113,2896.0044717925675
16,3.0,1,0.2,125,3020.105200877453
16,3.0,10,0.0,57,1361.912136133743
16,3.0,10,0.0001,56,1330.5497731382256
16,3.0,10,0.001,50,1381.4520149749258
16,3.0,10,0.01,53,1377.606080558465
16,3.0,10,0.1,91,1526.2774996939797
16,3.0,10,0.2,110,1617.9935608806068
16,3.0,20,0.0,61,1286.766102055335
16,3.0,20,0.0001,59,1251.7028093488238
16,3.0,20,0.001,53,1462.3912635251877
16,3.0,20,0.01,55,1543.076045862722
16,3.0,20,0.1,94,1865.728685110446
16,3.0,20,0.2,110,1772.135740409344
32,0.1,1,0.0,157,3592.937282536882
32,0.1,1,0.0001,140,2673.9094135603473
32,0.1,1,0.001,139,2278.8319760842533
32,0.1,1,0.01,135,2228.391888364969
32,0.1,1,0.1,143,2001.5443945819363
32,0.1,1,0.2,147,3406.801567839169
32,0.1,10,0.0,149,2518.780187262841
32,0.1,10,0.0001,129,1489.5154159282145
32,0.1,10,0.001,134,1566.3689014154522
32,0.1,10,0.01,128,1715.2771597394194
32,0.1,10,0.1,134,1692.0598278762366
32,0.1,10,0.2,137,1910.5952923181667
32,0.1,20,0.0,149,1931.164584472623
32,0.1,20,0.0001,130,1996.2590656299424
32,0.1,20,0.001,134,1873.8400741034957
32,0.1,20,0.01,129,1407.609844163585
32,0.1,20,0.1,134,1377.619351930755
32,0.1,20,0.2,137,1256.5250151041816
32,0.5,1,0.0,63,1570.6884168993938
32,0.5,1,0.0001,75,1749.0537193825835
32,0.5,1,0.001,82,1603.4866505781083
32,0.5,1,0.01,93,1655.703139905089
32,0.5,1,0.1,109,1548.727135366752
32,0.5,1,0.2,109,1641.6423406417566
32,0.5,10,0.0,37,735.163383529308
32,0.5,10,0.0001,31,731.6729200128394
32,0.5,10,0.001,32,748.1569645459914
32,0.5,10,0.01,38,785.0612746929329
32,0.5,10,0.1,56,801.0226721351767
32,0.5,10,0.2,57,848.2841559857033
32,0.5,20,0.0,33,725.0310522659894
32,0.5,20,0.0001,31,745.9710213136757
32,0.5,20,0.001,32,728.9405053472807
32,0.5,20,0.01,38,801.2028866623226
32,0.5,20,0.1,54,826.7274701171629
32,0.5,20,0.2,59,830.4729505787453
32,1.0,1,0.0,59,1675.4850271710718
32,1.0,1,0.0001,58,1676.1780700468119
32,1.0,1,0.001,63,1723.0588348950064
32,1.0,1,0.01,80,1632.007140464396
32,1.0,1,0.1,113,1561.2988426978532
32,1.0,1,0.2,116,1701.5681871733382
32,1.0,10,0.0,38,680.5396013715374
32,1.0,10,0.0001,36,725.0211310497575
32,1.0,10,0.001,35,712.7759630842693
32,1.0,10,0.01,45,760.714124666454
32,1.0,10,0.1,73,840.7647600140081
32,1.0,10,0.2,92,900.2860076871559
32,1.0,20,0.0,37,663.4468983956936
32,1.0,20,0.0001,40,745.907908101297
32,1.0,20,0.001,37,695.5931535472903
32,1.0,20,0.01,43,743.1313451530841
32,1.0,20,0.1,73,826.3349761827409
32,1.0,20,0.2,92,850.7251014316798
32,2.0,1,0.0,79,1732.4030234628945
32,2.0,1,0.0001,78,1853.7312508470513
32,2.0,1,0.001,81,1749.8596447899006
32,2.0,1,0.01,94,1725.3960402757752
32,2.0,1,0.1,126,1658.4537989648825
32,2.0,1,0.2,140,1695.8014751032056
32,2.0,10,0.0,63,717.7384223601523
32,2.0,10,0.0001,63,693.967198177982
32,2.0,10,0.001,60,778.1087245983202
32,2.0,10,0.01,63,773.8706821146387
32,2.0,10,0.1,123,803.2270387576962
32,2.0,10,0.2,148,820.5865391820028
32,2.0,20,0.0,67,709.7156238033878
32,2.0,20,0.0001,69,749.1463562861576
32,2.0,20,0.001,64,744.5504967230793
32,2.0,20,0.01,67,802.7652946319135
32,2.0,20,0.1,123,802.5370689199943
32,2.0,20,0.2,149,794.3345256854191
32,3.0,1,0.0,86,1707.1936104922286
32,3.0,1,0.0001,77,1590.315087504194
32,3.0,1,0.001,91,1829.972568161099
32,3.0,1,0.01,92,1917.785741042656
32,3.0,1,0.1,131,2234.4183836356865
32,3.0,1,0.2,143,2263.7702501910176
32,3.0,10,0.0,61,737.6319317855088
32,3.0,10,0.0001,63,690.6953096616668
32,3.0,10,0.001,69,747.206614473619
32,3.0,10,0.01,68,794.9454388860183
32,3.0,10,0.1,134,849.0361901345565
32,3.0,10,0.2,153,780.1960181284876
32,3.0,20,0.0,72,726.7247127018388
32,3.0,20,0.0001,66,685.9068488145914
32,3.0,20,0.001,69,730.3432374483864
32,3.0,20,0.01,75,795.3429739773102
32,3.0,20,0.1,139,831.0040443625122
32,3.0,20,0.2,151,833.0002591923022
